Id,Title,Acceptance,Difficulty,Frequency,Link
1365,How Many Numbers Are Smaller Than the Current Number,85.7%,Easy,23.3642,https://leetcode.com/problems/how-many-numbers-are-smaller-than-the-current-number
1366,Rank Teams by Votes,53.9%,Medium,4.78849,https://leetcode.com/problems/rank-teams-by-votes
1367,Linked List in Binary Tree,41.2%,Medium,5.60203,https://leetcode.com/problems/linked-list-in-binary-tree
1368,Minimum Cost to Make at Least One Valid Path in a Grid,54.6%,Hard,18.3006,https://leetcode.com/problems/minimum-cost-to-make-at-least-one-valid-path-in-a-grid
1369,Get the Second Most Recent Activity,66.0%,Hard,0.0,https://leetcode.com/problems/get-the-second-most-recent-activity
1370,Increasing Decreasing String,75.5%,Easy,10.5194,https://leetcode.com/problems/increasing-decreasing-string
1371,Find the Longest Substring Containing Vowels in Even Counts,58.7%,Medium,6.70391,https://leetcode.com/problems/find-the-longest-substring-containing-vowels-in-even-counts
1372,Longest ZigZag Path in a Binary Tree,54.1%,Medium,6.81864,https://leetcode.com/problems/longest-zigzag-path-in-a-binary-tree
1373,Maximum Sum BST in Binary Tree,39.9%,Hard,16.2112,https://leetcode.com/problems/maximum-sum-bst-in-binary-tree
1374,Generate a String With Characters That Have Odd Counts,75.5%,Easy,13.4384,https://leetcode.com/problems/generate-a-string-with-characters-that-have-odd-counts
1375,Bulb Switcher III,63.2%,Medium,32.0748,https://leetcode.com/problems/bulb-switcher-iii
1376,Time Needed to Inform All Employees,55.7%,Medium,21.9593,https://leetcode.com/problems/time-needed-to-inform-all-employees
1377,Frog Position After T Seconds,33.7%,Hard,9.84185,https://leetcode.com/problems/frog-position-after-t-seconds
1378,Replace Employee ID With The Unique Identifier,88.2%,Easy,1.05436,https://leetcode.com/problems/replace-employee-id-with-the-unique-identifier
1379,Find a Corresponding Node of a Binary Tree in a Clone of That Tree,83.8%,Medium,9.28498,https://leetcode.com/problems/find-a-corresponding-node-of-a-binary-tree-in-a-clone-of-that-tree
1380,Lucky Numbers in a Matrix,71.3%,Easy,3.81019,https://leetcode.com/problems/lucky-numbers-in-a-matrix
1381,Design a Stack With Increment Operation,75.9%,Medium,7.94488,https://leetcode.com/problems/design-a-stack-with-increment-operation
1382,Balance a Binary Search Tree,75.0%,Medium,23.2035,https://leetcode.com/problems/balance-a-binary-search-tree
1383,Maximum Performance of a Team,32.0%,Hard,42.1078,https://leetcode.com/problems/maximum-performance-of-a-team
1384,Total Sales Amount by Year,63.4%,Hard,4.09071,https://leetcode.com/problems/total-sales-amount-by-year
1385,Find the Distance Value Between Two Arrays,66.8%,Easy,7.33634,https://leetcode.com/problems/find-the-distance-value-between-two-arrays
1386,Cinema Seat Allocation,34.9%,Medium,8.36604,https://leetcode.com/problems/cinema-seat-allocation
1387,Sort Integers by The Power Value,70.0%,Medium,12.5127,https://leetcode.com/problems/sort-integers-by-the-power-value
1388,Pizza With 3n Slices,45.0%,Hard,27.132,https://leetcode.com/problems/pizza-with-3n-slices
1389,Create Target Array in the Given Order,84.4%,Easy,11.9768,https://leetcode.com/problems/create-target-array-in-the-given-order
1390,Four Divisors,38.3%,Medium,0.0,https://leetcode.com/problems/four-divisors
1391,Check if There is a Valid Path in a Grid,44.6%,Medium,23.4146,https://leetcode.com/problems/check-if-there-is-a-valid-path-in-a-grid
1392,Longest Happy Prefix,40.6%,Hard,4.94662,https://leetcode.com/problems/longest-happy-prefix
1393,Capital Gain/Loss,89.5%,Medium,6.73879,https://leetcode.com/problems/capital-gainloss
1394,Find Lucky Integer in an Array,64.1%,Easy,7.30307,https://leetcode.com/problems/find-lucky-integer-in-an-array
1395,Count Number of Teams,82.1%,Medium,24.5754,https://leetcode.com/problems/count-number-of-teams
1396,Design Underground System,65.4%,Medium,62.3716,https://leetcode.com/problems/design-underground-system
1397,Find All Good Strings,37.0%,Hard,26.902,https://leetcode.com/problems/find-all-good-strings
1398,Customers Who Bought Products A and B but Not C,81.0%,Medium,2.9072,https://leetcode.com/problems/customers-who-bought-products-a-and-b-but-not-c
1399,Count Largest Group,65.0%,Easy,6.31199,https://leetcode.com/problems/count-largest-group
1400,Construct K Palindrome Strings,60.7%,Medium,1.64314,https://leetcode.com/problems/construct-k-palindrome-strings
1401,Circle and Rectangle Overlapping,42.1%,Medium,3.70849,https://leetcode.com/problems/circle-and-rectangle-overlapping
1402,Reducing Dishes,72.4%,Hard,19.9387,https://leetcode.com/problems/reducing-dishes
1403,Minimum Subsequence in Non-Increasing Order,70.7%,Easy,8.14566,https://leetcode.com/problems/minimum-subsequence-in-non-increasing-order
1404,Number of Steps to Reduce a Number in Binary Representation to One,50.5%,Medium,14.8353,https://leetcode.com/problems/number-of-steps-to-reduce-a-number-in-binary-representation-to-one
1405,Longest Happy String,49.4%,Medium,34.9988,https://leetcode.com/problems/longest-happy-string
1406,Stone Game III,56.6%,Hard,17.0009,https://leetcode.com/problems/stone-game-iii
1407,Top Travellers,82.3%,Easy,0.0,https://leetcode.com/problems/top-travellers
1408,String Matching in an Array,61.5%,Easy,6.04609,https://leetcode.com/problems/string-matching-in-an-array
1409,Queries on a Permutation With Key,81.4%,Medium,0.0,https://leetcode.com/problems/queries-on-a-permutation-with-key
1410,HTML Entity Parser,54.0%,Medium,2.48341,https://leetcode.com/problems/html-entity-parser
1411,Number of Ways to Paint N × 3 Grid,61.1%,Hard,34.6033,https://leetcode.com/problems/number-of-ways-to-paint-n-3-grid
1412,Find the Quiet Students in All Exams,67.1%,Hard,5.25201,https://leetcode.com/problems/find-the-quiet-students-in-all-exams
1413,Minimum Value to Get Positive Step by Step Sum,65.1%,Easy,25.589,https://leetcode.com/problems/minimum-value-to-get-positive-step-by-step-sum
1414,Find the Minimum Number of Fibonacci Numbers Whose Sum Is K,63.6%,Medium,1.22008,https://leetcode.com/problems/find-the-minimum-number-of-fibonacci-numbers-whose-sum-is-k
1415,The k-th Lexicographical String of All Happy Strings of Length n,70.4%,Medium,1.81838,https://leetcode.com/problems/the-k-th-lexicographical-string-of-all-happy-strings-of-length-n
1416,Restore The Array,36.2%,Hard,4.19365,https://leetcode.com/problems/restore-the-array
1417,Reformat The String,54.8%,Easy,0.0,https://leetcode.com/problems/reformat-the-string
1418,Display Table of Food Orders in a Restaurant,66.3%,Medium,0.0,https://leetcode.com/problems/display-table-of-food-orders-in-a-restaurant
1419,Minimum Number of Frogs Croaking,46.5%,Medium,14.1457,https://leetcode.com/problems/minimum-number-of-frogs-croaking
1420,Build Array Where You Can Find The Maximum Exactly K Comparisons,64.8%,Hard,9.66799,https://leetcode.com/problems/build-array-where-you-can-find-the-maximum-exactly-k-comparisons
1421,NPV Queries,81.1%,Medium,1.81443,https://leetcode.com/problems/npv-queries
1422,Maximum Score After Splitting a String,54.7%,Easy,2.81145,https://leetcode.com/problems/maximum-score-after-splitting-a-string
1423,Maximum Points You Can Obtain from Cards,43.5%,Medium,30.601,https://leetcode.com/problems/maximum-points-you-can-obtain-from-cards
1424,Diagonal Traverse II,42.9%,Medium,30.5811,https://leetcode.com/problems/diagonal-traverse-ii
1425,Constrained Subsequence Sum,44.1%,Hard,13.5133,https://leetcode.com/problems/constrained-subsequence-sum
1426,Counting Elements,58.8%,Easy,0.0,https://leetcode.com/problems/counting-elements
1427,Perform String Shifts,53.1%,Easy,0.0,https://leetcode.com/problems/perform-string-shifts
1428,Leftmost Column with at Least a One,47.2%,Medium,51.4235,https://leetcode.com/problems/leftmost-column-with-at-least-a-one
1429,First Unique Number,47.5%,Medium,20.4523,https://leetcode.com/problems/first-unique-number
1430,Check If a String Is a Valid Sequence from Root to Leaves Path in a Binary Tree,44.9%,Medium,10.3057,https://leetcode.com/problems/check-if-a-string-is-a-valid-sequence-from-root-to-leaves-path-in-a-binary-tree
1431,Kids With the Greatest Number of Candies,88.7%,Easy,23.343,https://leetcode.com/problems/kids-with-the-greatest-number-of-candies
1432,Max Difference You Can Get From Changing an Integer,43.0%,Medium,0.0,https://leetcode.com/problems/max-difference-you-can-get-from-changing-an-integer
1433,Check If a String Can Break Another String,65.6%,Medium,0.0,https://leetcode.com/problems/check-if-a-string-can-break-another-string
1434,Number of Ways to Wear Different Hats to Each Other,38.2%,Hard,6.75148,https://leetcode.com/problems/number-of-ways-to-wear-different-hats-to-each-other
1435,Create a Session Bar Chart,76.9%,Easy,1.74982,https://leetcode.com/problems/create-a-session-bar-chart
1436,Destination City,76.9%,Easy,4.34825,https://leetcode.com/problems/destination-city
1437,Check If All 1's Are at Least Length K Places Away,62.8%,Medium,0.0,https://leetcode.com/problems/check-if-all-1s-are-at-least-length-k-places-away
1438,Longest Continuous Subarray With Absolute Diff Less Than or Equal to Limit,42.8%,Medium,45.8987,https://leetcode.com/problems/longest-continuous-subarray-with-absolute-diff-less-than-or-equal-to-limit
1439,Find the Kth Smallest Sum of a Matrix With Sorted Rows,59.6%,Hard,11.4154,https://leetcode.com/problems/find-the-kth-smallest-sum-of-a-matrix-with-sorted-rows
1440,Evaluate Boolean Expression,71.8%,Medium,0.0,https://leetcode.com/problems/evaluate-boolean-expression
1441,Build an Array With Stack Operations,69.7%,Easy,2.75374,https://leetcode.com/problems/build-an-array-with-stack-operations
1442,Count Triplets That Can Form Two Arrays of Equal XOR,69.8%,Medium,3.34192,https://leetcode.com/problems/count-triplets-that-can-form-two-arrays-of-equal-xor
1443,Minimum Time to Collect All Apples in a Tree,55.1%,Medium,1.35971,https://leetcode.com/problems/minimum-time-to-collect-all-apples-in-a-tree
1444,Number of Ways of Cutting a Pizza,52.6%,Hard,22.0349,https://leetcode.com/problems/number-of-ways-of-cutting-a-pizza
1445,Apples & Oranges,88.2%,Medium,4.19894,https://leetcode.com/problems/apples-oranges
1446,Consecutive Characters,59.8%,Easy,3.32841,https://leetcode.com/problems/consecutive-characters
1447,Simplified Fractions,61.3%,Medium,4.5611,https://leetcode.com/problems/simplified-fractions
1448,Count Good Nodes in Binary Tree,70.3%,Medium,0.0,https://leetcode.com/problems/count-good-nodes-in-binary-tree
1449,Form Largest Integer With Digits That Add up to Target,42.1%,Hard,6.60795,https://leetcode.com/problems/form-largest-integer-with-digits-that-add-up-to-target
1450,Number of Students Doing Homework at a Given Time,77.8%,Easy,1.70497,https://leetcode.com/problems/number-of-students-doing-homework-at-a-given-time
1451,Rearrange Words in a Sentence,55.8%,Medium,5.45606,https://leetcode.com/problems/rearrange-words-in-a-sentence
1452,People Whose List of Favorite Companies Is Not a Subset of Another List,53.6%,Medium,0.0,https://leetcode.com/problems/people-whose-list-of-favorite-companies-is-not-a-subset-of-another-list
1453,Maximum Number of Darts Inside of a Circular Dartboard,34.1%,Hard,8.74314,https://leetcode.com/problems/maximum-number-of-darts-inside-of-a-circular-dartboard
1454,Active Users,37.2%,Medium,5.49502,https://leetcode.com/problems/active-users
1455,Check If a Word Occurs As a Prefix of Any Word in a Sentence,64.4%,Easy,0.0,https://leetcode.com/problems/check-if-a-word-occurs-as-a-prefix-of-any-word-in-a-sentence
1456,Maximum Number of Vowels in a Substring of Given Length,52.9%,Medium,7.27187,https://leetcode.com/problems/maximum-number-of-vowels-in-a-substring-of-given-length
1457,Pseudo-Palindromic Paths in a Binary Tree,67.5%,Medium,2.39249,https://leetcode.com/problems/pseudo-palindromic-paths-in-a-binary-tree
1458,Max Dot Product of Two Subsequences,41.8%,Hard,0.0,https://leetcode.com/problems/max-dot-product-of-two-subsequences
1459,Rectangles Area,62.9%,Medium,0.0,https://leetcode.com/problems/rectangles-area
1460,Make Two Arrays Equal by Reversing Sub-arrays,73.4%,Easy,3.56069,https://leetcode.com/problems/make-two-arrays-equal-by-reversing-sub-arrays
1461,Check If a String Contains All Binary Codes of Size K,45.2%,Medium,1.78726,https://leetcode.com/problems/check-if-a-string-contains-all-binary-codes-of-size-k
1462,Course Schedule IV,42.2%,Medium,0.0,https://leetcode.com/problems/course-schedule-iv
1463,Cherry Pickup II,65.5%,Hard,13.6562,https://leetcode.com/problems/cherry-pickup-ii
1464,Maximum Product of Two Elements in an Array,77.8%,Easy,2.66893,https://leetcode.com/problems/maximum-product-of-two-elements-in-an-array
1465,Maximum Area of a Piece of Cake After Horizontal and Vertical Cuts,31.0%,Medium,0.0,https://leetcode.com/problems/maximum-area-of-a-piece-of-cake-after-horizontal-and-vertical-cuts
1466,Reorder Routes to Make All Paths Lead to the City Zero,62.4%,Medium,5.07745,https://leetcode.com/problems/reorder-routes-to-make-all-paths-lead-to-the-city-zero
1467,Probability of a Two Boxes Having The Same Number of Distinct Balls,61.4%,Hard,8.47348,https://leetcode.com/problems/probability-of-a-two-boxes-having-the-same-number-of-distinct-balls
1468,Calculate Salaries,79.6%,Medium,0.0,https://leetcode.com/problems/calculate-salaries
1469,Find All The Lonely Nodes,81.7%,Easy,0.0,https://leetcode.com/problems/find-all-the-lonely-nodes
1470,Shuffle the Array,88.7%,Easy,24.4551,https://leetcode.com/problems/shuffle-the-array
1471,The k Strongest Values in an Array,57.1%,Medium,1.40074,https://leetcode.com/problems/the-k-strongest-values-in-an-array
1472,Design Browser History,65.8%,Medium,17.4715,https://leetcode.com/problems/design-browser-history
1473,Paint House III,48.5%,Hard,34.4607,https://leetcode.com/problems/paint-house-iii
1474,Delete N Nodes After M Nodes of a Linked List,73.8%,Easy,1.83033,https://leetcode.com/problems/delete-n-nodes-after-m-nodes-of-a-linked-list
1475,Final Prices With a Special Discount in a Shop,75.4%,Easy,2.10421,https://leetcode.com/problems/final-prices-with-a-special-discount-in-a-shop
1476,Subrectangle Queries,89.7%,Medium,0.323633,https://leetcode.com/problems/subrectangle-queries
1477,Find Two Non-overlapping Sub-arrays Each With Target Sum,30.9%,Medium,24.0338,https://leetcode.com/problems/find-two-non-overlapping-sub-arrays-each-with-target-sum
1478,Allocate Mailboxes,55.2%,Hard,23.131,https://leetcode.com/problems/allocate-mailboxes
1479,Sales by Day of the Week,84.5%,Hard,5.06714,https://leetcode.com/problems/sales-by-day-of-the-week
1480,Running Sum of 1d Array,90.0%,Easy,35.6633,https://leetcode.com/problems/running-sum-of-1d-array
1481,Least Number of Unique Integers after K Removals,53.7%,Medium,2.19413,https://leetcode.com/problems/least-number-of-unique-integers-after-k-removals
1482,Minimum Number of Days to Make m Bouquets,47.6%,Medium,11.1391,https://leetcode.com/problems/minimum-number-of-days-to-make-m-bouquets
1483,Kth Ancestor of a Tree Node,27.9%,Hard,1.90114,https://leetcode.com/problems/kth-ancestor-of-a-tree-node
1484,Group Sold Products By The Date,86.1%,Easy,1.14382,https://leetcode.com/problems/group-sold-products-by-the-date
1485,Clone Binary Tree With Random Pointer,80.6%,Medium,2.79056,https://leetcode.com/problems/clone-binary-tree-with-random-pointer
1486,XOR Operation in an Array,84.4%,Easy,1.10458,https://leetcode.com/problems/xor-operation-in-an-array
1487,Making File Names Unique,29.5%,Medium,1.87133,https://leetcode.com/problems/making-file-names-unique
1488,Avoid Flood in The City,25.3%,Medium,1.11039,https://leetcode.com/problems/avoid-flood-in-the-city
1489,Find Critical and Pseudo-Critical Edges in Minimum Spanning Tree,51.1%,Hard,0.0,https://leetcode.com/problems/find-critical-and-pseudo-critical-edges-in-minimum-spanning-tree
1490,Clone N-ary Tree,83.9%,Medium,4.41078,https://leetcode.com/problems/clone-n-ary-tree
1491,Average Salary Excluding the Minimum and Maximum Salary,69.3%,Easy,0.0,https://leetcode.com/problems/average-salary-excluding-the-minimum-and-maximum-salary
1492,The kth Factor of n,67.3%,Medium,1.11039,https://leetcode.com/problems/the-kth-factor-of-n
1493,Longest Subarray of 1's After Deleting One Element,59.2%,Medium,1.11516,https://leetcode.com/problems/longest-subarray-of-1s-after-deleting-one-element
1494,Parallel Courses II,31.2%,Hard,7.09188,https://leetcode.com/problems/parallel-courses-ii
1495,Friendly Movies Streamed Last Month,51.7%,Easy,0.0,https://leetcode.com/problems/friendly-movies-streamed-last-month
1496,Path Crossing,55.9%,Easy,1.81662,https://leetcode.com/problems/path-crossing
1497,Check If Array Pairs Are Divisible by k,40.7%,Medium,20.3179,https://leetcode.com/problems/check-if-array-pairs-are-divisible-by-k
1498,Number of Subsequences That Satisfy the Given Sum Condition,37.0%,Medium,16.2444,https://leetcode.com/problems/number-of-subsequences-that-satisfy-the-given-sum-condition
1499,Max Value of Equation,43.8%,Hard,2.39097,https://leetcode.com/problems/max-value-of-equation
1500,Design a File Sharing System,45.1%,Medium,0.0,https://leetcode.com/problems/design-a-file-sharing-system
1501,Countries You Can Safely Invest In,62.2%,Medium,0.0,https://leetcode.com/problems/countries-you-can-safely-invest-in
1502,Can Make Arithmetic Progression From Sequence,72.3%,Easy,5.14838,https://leetcode.com/problems/can-make-arithmetic-progression-from-sequence
1503,Last Moment Before All Ants Fall Out of a Plank,52.0%,Medium,0.0,https://leetcode.com/problems/last-moment-before-all-ants-fall-out-of-a-plank
1504,Count Submatrices With All Ones,62.1%,Medium,10.8886,https://leetcode.com/problems/count-submatrices-with-all-ones
1505,Minimum Possible Integer After at Most K Adjacent Swaps On Digits,36.1%,Hard,14.961,https://leetcode.com/problems/minimum-possible-integer-after-at-most-k-adjacent-swaps-on-digits
1506,Find Root of N-Ary Tree,79.6%,Medium,4.17265,https://leetcode.com/problems/find-root-of-n-ary-tree
1507,Reformat Date,60.3%,Easy,3.36438,https://leetcode.com/problems/reformat-date
1508,Range Sum of Sorted Subarray Sums,65.7%,Medium,1.06919,https://leetcode.com/problems/range-sum-of-sorted-subarray-sums
1509,Minimum Difference Between Largest and Smallest Value in Three Moves,51.4%,Medium,5.16236,https://leetcode.com/problems/minimum-difference-between-largest-and-smallest-value-in-three-moves
1510,Stone Game IV,51.7%,Hard,2.6048,https://leetcode.com/problems/stone-game-iv
1511,Customer Order Frequency,74.9%,Easy,0.0,https://leetcode.com/problems/customer-order-frequency
1512,Number of Good Pairs,88.3%,Easy,12.0103,https://leetcode.com/problems/number-of-good-pairs
1513,Number of Substrings With Only 1s,40.5%,Medium,0.0,https://leetcode.com/problems/number-of-substrings-with-only-1s
1514,Path with Maximum Probability,37.1%,Medium,4.14154,https://leetcode.com/problems/path-with-maximum-probability
1515,Best Position for a Service Centre,36.4%,Hard,7.83041,https://leetcode.com/problems/best-position-for-a-service-centre
1516,Move Sub-Tree of N-Ary Tree,60.2%,Hard,0.0,https://leetcode.com/problems/move-sub-tree-of-n-ary-tree
1517,Find Users With Valid E-Mails,72.2%,Easy,0.0,https://leetcode.com/problems/find-users-with-valid-e-mails
1518,Water Bottles,62.8%,Easy,1.67358,https://leetcode.com/problems/water-bottles
1519,Number of Nodes in the Sub-Tree With the Same Label,35.5%,Medium,7.45744,https://leetcode.com/problems/number-of-nodes-in-the-sub-tree-with-the-same-label
1520,Maximum Number of Non-Overlapping Substrings,33.4%,Hard,8.74314,https://leetcode.com/problems/maximum-number-of-non-overlapping-substrings
1521,Find a Value of a Mysterious Function Closest to Target,43.1%,Hard,2.88709,https://leetcode.com/problems/find-a-value-of-a-mysterious-function-closest-to-target
1522,Diameter of N-Ary Tree,68.4%,Medium,5.53159,https://leetcode.com/problems/diameter-of-n-ary-tree
1523,Count Odd Numbers in an Interval Range,55.8%,Easy,0.0,https://leetcode.com/problems/count-odd-numbers-in-an-interval-range
1524,Number of Sub-arrays With Odd Sum,37.7%,Medium,0.0,https://leetcode.com/problems/number-of-sub-arrays-with-odd-sum
1525,Number of Good Ways to Split a String,68.4%,Medium,2.17461,https://leetcode.com/problems/number-of-good-ways-to-split-a-string
1526,Minimum Number of Increments on Subarrays to Form a Target Array,58.8%,Hard,5.76175,https://leetcode.com/problems/minimum-number-of-increments-on-subarrays-to-form-a-target-array
1527,Patients With a Condition,88.9%,Easy,0.0,https://leetcode.com/problems/patients-with-a-condition
1528,Shuffle String,85.7%,Easy,1.44886,https://leetcode.com/problems/shuffle-string
1529,Bulb Switcher IV,70.5%,Medium,5.76175,https://leetcode.com/problems/bulb-switcher-iv
1530,Number of Good Leaf Nodes Pairs,54.1%,Medium,0.0,https://leetcode.com/problems/number-of-good-leaf-nodes-pairs
1531,String Compression II,30.3%,Hard,22.5211,https://leetcode.com/problems/string-compression-ii
1532,The Most Recent Three Orders,74.6%,Medium,0.0,https://leetcode.com/problems/the-most-recent-three-orders
1533,Find the Index of the Large Integer,56.2%,Medium,0.0,https://leetcode.com/problems/find-the-index-of-the-large-integer
1534,Count Good Triplets,79.9%,Easy,1.36424,https://leetcode.com/problems/count-good-triplets
1535,Find the Winner of an Array Game,46.2%,Medium,0.561059,https://leetcode.com/problems/find-the-winner-of-an-array-game
1536,Minimum Swaps to Arrange a Binary Grid,42.3%,Medium,1.14382,https://leetcode.com/problems/minimum-swaps-to-arrange-a-binary-grid
1537,Get the Maximum Score,35.6%,Hard,9.79988,https://leetcode.com/problems/get-the-maximum-score
1538,Guess the Majority in a Hidden Array,61.4%,Medium,0.0,https://leetcode.com/problems/guess-the-majority-in-a-hidden-array
1539,Kth Missing Positive Number,53.2%,Easy,0.504275,https://leetcode.com/problems/kth-missing-positive-number
1540,Can Convert String in K Moves,28.9%,Medium,0.0,https://leetcode.com/problems/can-convert-string-in-k-moves
1541,Minimum Insertions to Balance a Parentheses String,40.6%,Medium,0.148241,https://leetcode.com/problems/minimum-insertions-to-balance-a-parentheses-string
1542,Find Longest Awesome Substring,35.8%,Hard,0.585969,https://leetcode.com/problems/find-longest-awesome-substring
1543,Fix Product Name Format,69.5%,Easy,0.0,https://leetcode.com/problems/fix-product-name-format
1544,Make The String Great,54.3%,Easy,0.0697129,https://leetcode.com/problems/make-the-string-great
1545,Find Kth Bit in Nth Binary String,57.0%,Medium,0.0,https://leetcode.com/problems/find-kth-bit-in-nth-binary-string
1546,Maximum Number of Non-Overlapping Subarrays With Sum Equals Target,42.5%,Medium,0.0,https://leetcode.com/problems/maximum-number-of-non-overlapping-subarrays-with-sum-equals-target
1547,Minimum Cost to Cut a Stick,49.3%,Hard,1.22246,https://leetcode.com/problems/minimum-cost-to-cut-a-stick
1548,The Most Similar Path in a Graph,57.1%,Hard,14.0633,https://leetcode.com/problems/the-most-similar-path-in-a-graph
1549,The Most Recent Orders for Each Product,59.8%,Medium,0.0,https://leetcode.com/problems/the-most-recent-orders-for-each-product
1550,Three Consecutive Odds,67.4%,Easy,0.0,https://leetcode.com/problems/three-consecutive-odds
1551,Minimum Operations to Make Array Equal,77.8%,Medium,0.0,https://leetcode.com/problems/minimum-operations-to-make-array-equal
1552,Magnetic Force Between Two Balls,47.2%,Medium,2.17887,https://leetcode.com/problems/magnetic-force-between-two-balls
1553,Minimum Number of Days to Eat N Oranges,27.4%,Hard,1.77397,https://leetcode.com/problems/minimum-number-of-days-to-eat-n-oranges
1554,Strings Differ by One Character,64.6%,Medium,1.46714,https://leetcode.com/problems/strings-differ-by-one-character
1555,Bank Account Summary,53.5%,Medium,0.0,https://leetcode.com/problems/bank-account-summary
1556,Thousand Separator,61.0%,Easy,0.0,https://leetcode.com/problems/thousand-separator
1557,Minimum Number of Vertices to Reach All Nodes,71.9%,Medium,0.0,https://leetcode.com/problems/minimum-number-of-vertices-to-reach-all-nodes
1558,Minimum Numbers of Function Calls to Make Target Array,61.9%,Medium,0.314369,https://leetcode.com/problems/minimum-numbers-of-function-calls-to-make-target-array
1559,Detect Cycles in 2D Grid,44.6%,Hard,0.0,https://leetcode.com/problems/detect-cycles-in-2d-grid
1560,Most Visited Sector in a Circular Track,56.7%,Easy,0.0,https://leetcode.com/problems/most-visited-sector-in-a-circular-track
1561,Maximum Number of Coins You Can Get,81.3%,Medium,0.0,https://leetcode.com/problems/maximum-number-of-coins-you-can-get
1562,Find Latest Group of Size M,38.5%,Medium,0.122427,https://leetcode.com/problems/find-latest-group-of-size-m
1563,Stone Game V,40.6%,Hard,0.396645,https://leetcode.com/problems/stone-game-v
1564,Put Boxes Into the Warehouse I,69.2%,Medium,0.0,https://leetcode.com/problems/put-boxes-into-the-warehouse-i
1565,Unique Orders and Customers Per Month    New,80.5%,Easy,0.0,https://leetcode.com/problems/unique-orders-and-customers-per-month
1566,Detect Pattern of Length M Repeated K or More Times,42.0%,Easy,0.0,https://leetcode.com/problems/detect-pattern-of-length-m-repeated-k-or-more-times
1567,Maximum Length of Subarray With Positive Product,35.2%,Medium,0.0,https://leetcode.com/problems/maximum-length-of-subarray-with-positive-product
1568,Minimum Number of Days to Disconnect Island,52.4%,Hard,0.0,https://leetcode.com/problems/minimum-number-of-days-to-disconnect-island
1569,Number of Ways to Reorder Array to Get Same BST,49.3%,Hard,0.0,https://leetcode.com/problems/number-of-ways-to-reorder-array-to-get-same-bst
1570,Dot Product of Two Sparse Vectors    New,94.3%,Medium,10.1262,https://leetcode.com/problems/dot-product-of-two-sparse-vectors
1571,Warehouse Manager    New,92.8%,Easy,0.0,https://leetcode.com/problems/warehouse-manager
1572,Matrix Diagonal Sum,78.6%,Easy,0.0,https://leetcode.com/problems/matrix-diagonal-sum
1573,Number of Ways to Split a String,28.9%,Medium,0.0,https://leetcode.com/problems/number-of-ways-to-split-a-string
1574,Shortest Subarray to be Removed to Make Array Sorted,27.1%,Medium,0.602102,https://leetcode.com/problems/shortest-subarray-to-be-removed-to-make-array-sorted
1575,Count All Possible Routes,59.7%,Hard,0.0,https://leetcode.com/problems/count-all-possible-routes
1576,Replace All ?'s to Avoid Consecutive Repeating Characters,46.2%,Easy,0.0,https://leetcode.com/problems/replace-all-s-to-avoid-consecutive-repeating-characters
1577,Number of Ways Where Square of Number Is Equal to Product of Two Numbers,34.4%,Medium,0.0,https://leetcode.com/problems/number-of-ways-where-square-of-number-is-equal-to-product-of-two-numbers
1578,Minimum Deletion Cost to Avoid Repeating Letters,57.5%,Medium,0.0,https://leetcode.com/problems/minimum-deletion-cost-to-avoid-repeating-letters
1579,Remove Max Number of Edges to Keep Graph Fully Traversable,38.3%,Hard,0.0,https://leetcode.com/problems/remove-max-number-of-edges-to-keep-graph-fully-traversable
